zone_id,total_emergencies,average_response_duration_minutes,delayed_ratio_percent,average_congestion_index,average_route_risk_score,average_nearby_hospital_load,recommended_standby_ambulances
Zone_4523_-8208,11,14.6,36.4,1.91,2.18,0.4,2
Zone_4525_-8209,11,19.0,72.7,1.82,2.09,0.2,2
Zone_4528_-8205,11,20.4,63.6,1.91,2.45,0.5,2
Zone_4518_-8210,9,24.6,77.8,1.67,1.89,0.6,2
Zone_4533_-8207,9,20.7,77.8,1.89,2.78,0.9,2
Zone_4529_-8215,9,16.8,55.6,2.0,2.22,1.0,2
Zone_4522_-8203,9,27.4,100.0,1.33,1.83,0.7,2
Zone_4531_-8206,9,19.5,44.4,2.44,2.67,0.9,2
Zone_4530_-8210,9,13.8,33.3,2.11,2.61,0.4,2
Zone_4530_-8212,9,19.6,33.3,1.67,2.0,0.6,2
Zone_4531_-8214,9,16.3,44.4,2.0,2.33,0.8,2
Zone_4519_-8209,8,20.9,62.5,2.0,2.62,0.4,2
Zone_4520_-8206,8,22.5,100.0,2.0,2.81,0.6,2
Zone_4524_-8203,8,29.6,100.0,2.12,2.12,0.6,2
Zone_4518_-8211,8,23.0,62.5,2.25,2.25,0.6,2
Zone_4519_-8208,8,20.7,75.0,1.38,2.38,0.5,2
Zone_4522_-8212,8,16.0,50.0,2.25,2.69,1.1,2
Zone_4525_-8205,8,21.8,62.5,1.75,2.12,1.0,2
Zone_4533_-8205,8,34.5,100.0,2.0,2.81,0.4,2
Zone_4532_-8206,8,31.1,87.5,1.75,2.69,1.2,2
Zone_4525_-8214,7,15.5,71.4,1.71,2.14,0.3,2
Zone_4531_-8210,7,23.6,57.1,1.57,2.21,0.1,2
Zone_4522_-8208,7,17.9,42.9,1.71,2.79,1.3,2
Zone_4523_-8205,7,23.0,71.4,1.57,1.86,0.4,2
Zone_4520_-8214,7,17.9,42.9,2.0,2.0,0.7,2
Zone_4521_-8207,7,21.5,71.4,1.43,1.64,0.3,2
Zone_4521_-8210,7,17.9,28.6,1.86,2.29,0.4,1
Zone_4520_-8211,7,17.8,71.4,2.43,2.86,0.7,2
Zone_4518_-8215,7,31.2,71.4,2.14,2.14,1.1,2
Zone_4518_-8203,7,29.8,100.0,1.57,2.43,0.4,2
Zone_4532_-8203,7,25.7,85.7,1.86,1.86,0.9,2
Zone_4533_-8203,7,31.7,100.0,1.71,2.14,0.1,2
Zone_4528_-8208,7,20.9,57.1,2.0,2.86,0.1,2
Zone_4526_-8211,7,12.2,14.3,1.71,1.93,0.0,1
Zone_4528_-8210,7,18.5,42.9,1.43,2.29,1.0,2
Zone_4528_-8207,7,16.9,42.9,2.29,3.43,0.6,2
Zone_4519_-8207,7,19.4,85.7,2.14,2.57,0.3,2
Zone_4519_-8203,7,31.6,85.7,2.71,3.14,0.4,3
Zone_4523_-8212,6,16.6,33.3,1.67,2.42,0.7,2
Zone_4523_-8203,6,19.0,66.7,1.67,2.67,0.5,2
Zone_4521_-8203,6,28.4,100.0,1.17,1.42,0.8,2
Zone_4518_-8205,6,26.1,100.0,1.67,1.67,0.7,2
Zone_4520_-8203,6,25.3,100.0,1.67,2.17,0.7,2
Zone_4520_-8204,6,31.0,100.0,2.0,2.58,0.7,2
Zone_4519_-8204,6,38.7,100.0,1.83,2.83,0.5,2
Zone_4523_-8209,6,25.0,66.7,2.5,3.5,0.8,2
Zone_4524_-8213,6,20.8,66.7,2.5,2.75,1.5,2
Zone_4522_-8209,6,15.2,33.3,1.67,1.92,0.3,2
Zone_4532_-8211,6,20.4,33.3,1.5,1.75,1.2,2
Zone_4530_-8211,6,15.7,16.7,2.33,3.5,0.0,1
Zone_4529_-8212,6,10.5,0.0,1.5,2.0,0.7,1
Zone_4526_-8207,6,14.8,50.0,1.83,1.83,0.3,2
Zone_4525_-8215,6,17.2,66.7,2.17,2.17,0.7,2
Zone_4528_-8213,6,15.2,33.3,2.17,2.67,0.5,2
Zone_4527_-8203,6,23.3,83.3,2.17,2.67,0.7,2
Zone_4527_-8204,6,23.2,83.3,2.17,2.42,1.0,2
Zone_4529_-8207,6,21.1,83.3,1.67,1.92,1.0,2
Zone_4528_-8214,6,21.0,83.3,2.33,2.33,1.0,2
Zone_4531_-8209,6,17.0,66.7,2.5,2.5,0.2,2
Zone_4533_-8208,6,29.9,66.7,1.33,2.17,1.3,2
Zone_4524_-8215,6,13.6,16.7,1.83,2.33,1.0,1
Zone_4526_-8210,5,15.9,60.0,2.4,2.7,0.4,2
Zone_4525_-8213,5,11.6,20.0,2.4,2.7,0.4,1
Zone_4521_-8214,5,13.2,40.0,1.8,2.1,0.4,2
Zone_4533_-8214,5,24.4,80.0,2.6,3.6,0.8,3
Zone_4533_-8211,5,32.2,100.0,2.0,2.0,0.4,2
Zone_4533_-8204,5,48.6,100.0,2.2,3.7,0.6,2
Zone_4530_-8205,5,26.1,40.0,2.2,2.2,0.6,2
Zone_4530_-8209,5,15.5,40.0,2.2,2.8,0.4,2
Zone_4530_-8207,5,22.6,60.0,1.8,2.4,0.4,2
Zone_4526_-8213,5,15.8,40.0,2.4,3.4,1.0,2
Zone_4526_-8209,5,19.3,40.0,1.8,2.1,0.4,2
Zone_4525_-8212,5,16.3,60.0,1.8,3.0,1.0,2
Zone_4529_-8203,5,25.3,80.0,2.0,2.6,0.4,2
Zone_4529_-8211,5,22.6,60.0,2.4,2.4,0.8,2
Zone_4529_-8208,5,20.7,60.0,1.6,2.5,0.4,2
Zone_4528_-8211,5,19.4,60.0,1.4,1.4,0.8,2
Zone_4528_-8215,5,19.2,60.0,1.8,2.4,0.4,2
Zone_4532_-8205,5,26.4,100.0,1.8,2.1,1.0,2
Zone_4532_-8204,5,30.5,80.0,1.8,2.7,0.2,2
Zone_4520_-8208,5,15.9,40.0,2.0,2.9,0.2,2
Zone_4520_-8210,5,11.7,0.0,1.4,1.4,0.6,1
Zone_4518_-8214,5,27.2,80.0,1.8,2.7,0.4,2
Zone_4518_-8212,5,14.9,20.0,1.6,1.6,0.4,1
Zone_4522_-8204,5,18.0,80.0,1.6,2.3,0.4,2
Zone_4520_-8207,5,24.0,100.0,1.6,1.9,0.4,2
Zone_4521_-8209,5,13.5,20.0,1.8,2.4,0.2,1
Zone_4520_-8213,5,19.2,60.0,1.6,1.9,0.4,2
Zone_4522_-8213,5,19.2,40.0,1.8,2.7,1.2,2
Zone_4524_-8208,5,18.4,80.0,2.6,3.2,0.2,3
Zone_4523_-8213,5,11.9,20.0,1.2,2.4,0.4,1
Zone_4523_-8214,5,17.5,40.0,2.4,3.0,0.2,2
Zone_4519_-8205,5,27.0,100.0,1.8,2.4,1.0,2
Zone_4519_-8206,5,33.4,100.0,1.8,3.4,0.2,2
Zone_4528_-8212,4,13.6,25.0,1.25,1.25,0.0,1
Zone_4530_-8203,4,36.5,100.0,1.5,1.5,0.0,2
Zone_4518_-8213,4,15.4,75.0,1.75,2.88,0.5,2
Zone_4520_-8209,4,19.4,75.0,1.75,1.75,1.2,2
Zone_4523_-8207,4,14.5,25.0,1.25,1.25,0.2,1
Zone_4523_-8215,4,18.2,50.0,1.5,1.88,0.5,2
Zone_4521_-8204,4,31.9,100.0,1.5,1.5,0.2,2
Zone_4519_-8213,4,18.0,50.0,2.25,2.62,0.0,2
Zone_4518_-8207,4,19.8,75.0,2.0,2.0,0.5,2
Zone_4518_-8206,4,30.4,75.0,2.0,3.88,0.2,2
Zone_4527_-8214,4,13.5,25.0,2.25,2.25,0.8,1
Zone_4528_-8204,4,14.8,50.0,2.5,3.25,0.5,2
Zone_4527_-8209,4,14.7,50.0,1.75,1.75,1.0,2
Zone_4527_-8212,4,10.6,0.0,1.5,1.5,0.5,1
Zone_4529_-8205,4,25.0,75.0,1.75,2.25,0.8,2
Zone_4529_-8209,4,22.4,50.0,2.0,2.0,1.8,2
Zone_4518_-8209,4,30.3,75.0,1.5,1.5,0.0,2
Zone_4519_-8214,4,27.0,75.0,2.75,3.12,0.8,3
Zone_4532_-8212,4,29.0,100.0,2.75,4.0,1.2,3
Zone_4533_-8215,4,29.0,100.0,1.5,2.25,1.0,2
Zone_4530_-8214,4,17.7,50.0,2.25,3.0,1.2,2
Zone_4533_-8212,4,30.6,50.0,1.25,1.75,0.8,2
Zone_4532_-8214,4,32.4,100.0,2.75,2.75,0.5,3
Zone_4533_-8210,4,20.3,50.0,1.25,1.25,0.5,2
Zone_4530_-8206,4,14.6,25.0,1.75,2.12,0.2,1
Zone_4532_-8209,4,42.1,75.0,2.5,4.38,0.8,2
Zone_4531_-8208,4,21.0,50.0,2.5,3.25,0.0,2
Zone_4530_-8208,4,42.4,100.0,2.0,3.88,0.2,2
Zone_4530_-8204,4,28.9,50.0,1.5,2.25,1.0,2
Zone_4527_-8206,4,19.1,75.0,2.25,2.25,0.5,2
Zone_4526_-8206,4,12.2,0.0,1.0,1.0,1.0,1
Zone_4526_-8215,4,19.4,75.0,1.25,2.0,1.0,2
Zone_4526_-8212,4,16.1,50.0,1.75,1.75,0.5,2
Zone_4525_-8211,4,16.0,50.0,1.5,2.25,0.2,2
Zone_4526_-8214,4,15.4,25.0,2.0,2.75,0.8,1
Zone_4533_-8206,4,24.3,75.0,2.0,2.75,0.5,2
Zone_4527_-8205,4,13.4,50.0,2.25,2.62,0.8,2
Zone_4526_-8208,3,14.8,66.7,3.0,4.0,0.0,3
Zone_4525_-8210,3,13.2,33.3,1.67,2.17,0.7,2
Zone_4525_-8216,3,17.8,66.7,2.67,4.17,1.0,3
Zone_4526_-8204,3,27.2,100.0,1.33,1.33,0.3,2
Zone_4531_-8213,3,13.3,33.3,1.33,1.83,0.3,2
Zone_4527_-8208,3,18.0,66.7,2.33,2.83,0.3,2
Zone_4527_-8210,3,12.0,33.3,1.0,1.0,1.7,2
Zone_4527_-8213,3,14.5,0.0,1.67,2.67,0.0,1
Zone_4534_-8204,3,23.8,100.0,2.33,2.83,0.0,2
Zone_4534_-8208,3,36.2,66.7,1.33,1.33,0.3,2
Zone_4532_-8210,3,18.6,66.7,1.33,1.83,0.0,2
Zone_4532_-8213,3,21.3,66.7,2.0,3.0,0.0,2
Zone_4533_-8213,3,17.3,100.0,1.67,2.67,0.0,2
Zone_4534_-8209,3,19.6,100.0,1.0,1.0,0.3,2
Zone_4531_-8211,3,16.8,66.7,1.0,1.0,1.7,2
Zone_4531_-8207,3,21.0,100.0,2.0,3.0,1.0,2
Zone_4522_-8210,3,14.0,33.3,2.0,2.5,0.7,2
Zone_4521_-8205,3,30.8,66.7,1.33,1.33,0.0,2
Zone_4520_-8212,3,25.4,66.7,1.67,2.17,0.3,2
Zone_4521_-8215,3,25.0,33.3,2.0,3.0,0.7,2
Zone_4523_-8204,3,29.8,66.7,1.67,2.17,1.0,2
